"UpdateTimes","SgnYear","CountryCode","Cntrnm","StatisticalMethods","UpdateDate","PlateType","Crtnm","ManAddValue"
"1","1970","BGD","孟加拉","1","","南亚","孟加拉塔卡","2505.5952"
"1","1970","CHN","中国","1","","东亚","人民币元","76019.5799"
"1","1970","IND","印度","1","","南亚","印度卢比","60825.2009"
"1","1970","IRN","伊朗伊斯兰共和国","1","","西亚北非","伊朗里亚尔","103276.6251"
"1","1970","IRQ","伊拉克","1","","西亚北非","伊拉克第纳尔","116.0000"
"1","1970","JOR","约旦","1","","西亚北非","约旦第纳尔","23.9000"
"1","1970","KOR","大韩民国","1","","东亚","韩元","448200.0000"
"1","1970","LKA","斯里兰卡","1","","南亚","斯里兰卡卢比","2196.9999"
"1","1970","MYS","马来西亚","1","","东南亚","马来西亚林吉特","1628.1324"
"1","1970","NPL","尼泊尔","1","","南亚","尼泊尔卢比","323.0000"
"1","1970","OMN","阿曼","1","","西亚北非","阿曼里亚尔","0.2000"
"1","1970","PAK","巴基斯坦","1","","南亚","巴基斯坦卢比","6962.9998"
"1","1970","PHL","菲律宾","1","","东南亚","菲律宾比索","9833.0000"
"1","1970","SAU","沙特阿拉伯","1","","西亚北非","沙特里亚尔","1997.0000"
"1","1970","THA","泰国","1","","东南亚","泰国铢","23499.9992"
"1","1970","TUR","土耳其","1","","西亚北非","土耳其里拉","0.0316"
"1","1970","BGD","孟加拉","3","","南亚","孟加拉塔卡","125631.8348"
"1","1970","IND","印度","3","","南亚","印度卢比","1303565.2373"
"1","1970","IRN","伊朗伊斯兰共和国","3","","西亚北非","伊朗里亚尔","19160863.4879"
"1","1970","IRQ","伊拉克","3","","西亚北非","伊拉克第纳尔","109327.4960"
"1","1970","KOR","大韩民国","3","","东亚","韩元","6193988.8005"
"1","1970","LKA","斯里兰卡","3","","南亚","斯里兰卡卢比","164646.4210"
"1","1970","MYS","马来西亚","3","","东南亚","马来西亚林吉特","6823.6996"
"1","1970","PAK","巴基斯坦","3","","南亚","巴基斯坦卢比","112234.7392"
"1","1970","PHL","菲律宾","3","","东南亚","菲律宾比索","342974.6796"
"1","1970","SAU","沙特阿拉伯","3","","西亚北非","沙特里亚尔","15922.0205"
"1","1970","THA","泰国","3","","东南亚","泰国铢","115623.8679"
"1","1970","TUR","土耳其","3","","西亚北非","土耳其里拉","3185.7332"
"1","1970","BGD","孟加拉","2","","南亚","美元","521.9990"
