"UpdateTimes","SgnYear","CountryCode","Cntrnm","UpdateDate","PlateType","Population","PopGrowthRate","FemaleRatio","UrbanPopulation","UrbanPopRatio","UrbanPopGrowthRate","RuralPopulation","RuralPopRatio","RuralPopGrowthRate"
"1","1970","AFG","阿富汗","","南亚","11126.1230","2.4723","48.9779","1282.7310","11.5290","5.7969","9843.3920","88.4710","2.0470"
"1","1970","ALB","阿尔巴尼亚","","中东欧","2135.4790","2.5509","48.5117","677.8010","31.7400","3.1576","1457.6780","68.2600","2.2700"
"1","1970","ARE","阿拉伯联合酋长国","","西亚北非","235.4990","14.4469","36.6995","187.9280","79.8000","14.4471","47.5710","20.2000","14.4465"
"1","1970","ARM","亚美尼亚","","西亚北非","2525.0650","2.4917","51.1500","1511.6050","59.8640","3.8744","1013.4600","40.1360","0.4643"
"1","1970","AZE","阿塞拜疆","","西亚北非","5180.0250","2.1088","51.4061","2590.4270","50.0080","2.1989","2589.5980","49.9920","2.0189"
"1","1970","BGD","孟加拉国","","南亚","65047.7700","2.5384","48.7385","4939.0770","7.5930","6.5284","60108.6930","92.4070","2.2175"
"1","1970","BGR","保加利亚","","中东欧","8489.5740","0.6547","49.9929","4440.0470","52.3000","3.1052","4049.5270","47.7000","-1.9648"
"1","1970","BHR","巴林","","西亚北非","212.6050","3.1351","45.9785","178.1100","83.7750","3.4331","34.4950","16.2250","1.6102"
"1","1970","BIH","波斯尼亚和黑塞哥维那","","中东欧","3760.5270","1.1517","50.5756","1022.9010","27.2010","4.5848","2737.6260","72.7990","-0.1014"
"1","1970","BLR","白俄罗斯","","中东欧","9040.0000","0.8855","54.0115","3978.5040","44.0100","3.7669","5061.4960","55.9900","-1.3225"
"1","1970","BRN","文莱达鲁萨兰国","","东南亚","129.5830","4.6842","48.3346","79.9200","61.6750","7.5908","49.6630","38.3250","0.1774"
"1","1970","BTN","不丹","","南亚","298.3010","3.2459","49.2093","18.1640","6.0890","8.4392","280.1370","93.9110","2.9183"
"1","1970","CHN","中国","","东亚","818315.0000","2.7617","48.7182","142386.8100","17.4000","2.0287","675928.1900","82.6000","2.9168"
"1","1970","CZE","捷克共和国","","中东欧","9858.0710","-0.3899","51.6011","6348.7950","64.4020","0.3457","3509.2760","35.5980","-1.7071"
"1","1970","EGY","阿拉伯埃及共和国","","西亚北非","35046.2730","2.3952","49.3771","14536.1430","41.4770","3.2669","20510.1300","58.5230","1.7819"
"1","1970","EST","爱沙尼亚","","中东欧","1360.0760","1.0961","54.2530","883.3290","64.9470","2.0865","476.7470","35.0530","-0.7133"
"1","1970","GEO","格鲁吉亚","","西亚北非","4119.9000","0.9658","53.0305","1977.7990","48.0060","1.9792","2142.1010","51.9940","0.0393"
"1","1970","HRV","克罗地亚","","中东欧","4411.0000","0.5456","51.6114","1773.0460","40.1960","3.2334","2637.9540","59.8040","-1.2212"
"1","1970","HUN","匈牙利","","中东欧","10337.9100","0.3798","51.5341","6214.3240","60.1120","1.0826","4123.5860","39.8880","-0.6701"
"1","1970","IDN","印度尼西亚","","东南亚","114834.7800","2.6782","50.1491","19603.4450","17.0710","4.2249","95231.3350","82.9290","2.3628"
"1","1970","IND","印度","","南亚","553578.5130","2.2051","48.2230","109387.1140","19.7600","3.2122","444191.3990","80.2400","1.9587"
"1","1970","IRN","伊朗伊斯兰共和国","","西亚北非","28514.0100","2.6611","48.6131","11751.1940","41.2120","4.8468","16762.8160","58.7880","1.1568"
